,建案名稱,總價,格局/地坪,建坪,位置,網站,latitude,longitude
2806,三多麗,,未提供,海佃路三段192號,海佃路三段192號,https://tainan.housetube.tw/26543,,
2807,公園巴洛克6,,未提供,柳營路二段57號,柳營路二段57號,https://tainan.housetube.tw/26538,23.2781122,120.3118492
2808,知音,,未提供,中華北路二段53巷39弄38號,中華北路二段53巷39弄38號,https://tainan.housetube.tw/26523,,
2809,山豐海富10期,,83起,龍目井路,龍目井路,https://tainan.housetube.tw/26513,,
2810,煌聖HOKI,,位址:,,富中街660號,https://tainan.housetube.tw/26500,31.364538,120.543139
2811,常謙,,未提供,海中街101巷,海中街101巷,https://tainan.housetube.tw/26499,,
2812,測試建案,,未提供,未提供,未提供,https://tainan.housetube.tw/26488,34.2338993,135.177091
2813,兆翔金鑽,,未提供,位址:,忠孝路與安西路口,https://tainan.housetube.tw/26438,22.433537,120.519363
2814,八達居9期10期,,26~64,位址:,未提供,https://tainan.housetube.tw/26431,34.2338993,135.177091
2815,宏觀天下,,122起,培安路267巷20號,培安路267巷20號,https://tainan.housetube.tw/26413,,
2816,喜洋洋II,,48~60,海環街335巷,海環街335巷,https://tainan.housetube.tw/26407,,
2817,天與地九部曲,,150起,建平三街58號,建平三街58號,https://tainan.housetube.tw/26386,,
2818,懷藝,,位址:,社區,裕義路266號,https://tainan.housetube.tw/26343,22.9839756,120.247757
2819,伯爵皇宮,,129起,台南市安南區仁安路306號,台南市安南區仁安路306號,https://tainan.housetube.tw/26340,23.0521917,120.1815548
2820,下營首富B區,,66~79,大仁街63巷2號,大仁街63巷2號,https://tainan.housetube.tw/26337,,
2821,大傳11,,24.2~33.5,位址:,水交社路352號,https://tainan.housetube.tw/26316,,
2822,公園伯爵NO.17,,60.4~65.3,昭明中學旁,昭明中學旁,https://tainan.housetube.tw/26308,,
2823,宏觀,,82~95,北園街87巷59號,北園街87巷59號,https://tainan.housetube.tw/26304,,
2824,旭茂首府No.8,,75起,仁安一街8號,仁安一街8號,https://tainan.housetube.tw/26297,23.0514299,120.1760318
2825,麗寶園,,63起,鯤鯓路100號,鯤鯓路100號,https://tainan.housetube.tw/26287,22.9594169,120.1721545
2826,晉好宅圓築六,,132起,功安三街75號、77號,功安三街75號、77號,https://tainan.housetube.tw/26285,23.0509439,120.1814112
2827,晉好宅圓築五,,188起,安中路一段372巷25號,安中路一段372巷25號,https://tainan.housetube.tw/26284,,
2828,成功富邑,,位址:,社區,台南市北區北忠街,https://tainan.housetube.tw/26280,22.999529,120.209072
2829,宇宙1號,,90.6起,北安二街17號,北安二街17號,https://tainan.housetube.tw/26272,23.0355923,120.2059509
2830,柏陽福康,,未提供,仁光國小旁,仁光國小旁,https://tainan.housetube.tw/26262,,
2831,成家園,,未提供,太子宮旁,太子宮旁,https://tainan.housetube.tw/26261,25.033555800000002,121.46960398153271
2832,陽春一期,,166起,光州四街76號,光州四街76號,https://tainan.housetube.tw/26258,,
2833,逸墅,,未提供,台南市中西區永和街42-1號,台南市中西區永和街42-1號,https://tainan.housetube.tw/26254,23.0015541,120.1914484
2834,璽硯8,,140起,中華南路二段315巷6弄1號,中華南路二段315巷6弄1號,https://tainan.housetube.tw/26251,22.9607816,120.1853005
2835,春風別墅2,,52.4起,台南市歸仁區大潭一街,台南市歸仁區大潭一街,https://tainan.housetube.tw/26242,22.9113351,120.271407
2836,春天別墅,,53~67.3,台南市歸仁區成功路二段130巷1號,台南市歸仁區成功路二段130巷1號,https://tainan.housetube.tw/26241,23.109964,120.301152
2837,幸福御守2,,59,位址:,安中路一段275號,https://tainan.housetube.tw/26232,,
2838,皇邑NO.16,,35~36,位址:,利南街35號,https://tainan.housetube.tw/26219,31.919215,120.0729
2839,穎霖NO.17,,未提供,未提供,未提供,https://tainan.housetube.tw/26215,34.2338993,135.177091
2840,頂美巴洛克,,230起,頂美三街121巷71弄25號,頂美三街121巷71弄25號,https://tainan.housetube.tw/26189,,
2841,小幸運,,52起,台南市新市區三舍里,台南市新市區三舍里,https://tainan.housetube.tw/26188,23.0971865,120.29298793995983
2842,北歐101,,位址:,社區,台南市仁德區德崙路442巷35弄21號,https://tainan.housetube.tw/26186,23.109964,120.301152
2843,蓁品苑,,192,民權路三段326號,民權路三段326號,https://tainan.housetube.tw/26164,24.762734,121.7350246
2844,晶色三麥,,73~93,本原街二段116巷,本原街二段116巷,https://tainan.housetube.tw/26150,23.0580512,120.1875571
2845,大悅,,55~71,功安一街&智安一街口,功安一街&智安一街口,https://tainan.housetube.tw/26140,23.050107,120.179147
2846,高第川CASA,,50~53,蘇厝里503-7號,蘇厝里503-7號,https://tainan.housetube.tw/26135,24.356404,121.312594
