,建案名稱,總價,格局/地坪,建坪,位置,網站,latitude,longitude
0,建中名邸,"1,788萬起",32~43,位址:,台南市佳里區建中街,https://tainan.housetube.tw/46722,,
1,臺邦 La Vie,"2,245~3,080萬",70~91,佳里區貴族世家往前200公尺（進學路）,佳里區貴族世家往前200公尺（進學路）,https://tainan.housetube.tw/47359,24.936712,121.255407
2,萊茵河3,"1,480~1,680萬",67~70,台南市安定區管寮,台南市安定區管寮,https://tainan.housetube.tw/46920,23.1072098,120.2191195
3,萊茵河2,"1,280萬起",56~62,大內區熊貓車站旁,大內區熊貓車站旁,https://tainan.housetube.tw/46859,,
4,佳佳園2,37~40萬/坪,位址:,推薦,南勢街上,https://tainan.housetube.tw/42609,,
5,華屋有樂事8,37~40萬/坪,位址:,明星學區,未提供,https://tainan.housetube.tw/45728,34.2338993,135.177091
6,佳晟家和,37~40萬/坪,26~40,台南市永康區永和段17地號,台南市永康區永和段17地號,https://tainan.housetube.tw/47644,,
7,臺邦秘境,"1,595~1,900萬",62~73,將軍區漚汪台電附近,將軍區漚汪台電附近,https://tainan.housetube.tw/46818,,
8,上澄硯,"2,888~4,328萬",89~96,永康區公園路151巷,永康區公園路151巷,https://tainan.housetube.tw/46727,23.0127274,120.2595584
9,楓華13期,"2,888~4,328萬",76,未提供,未提供,https://tainan.housetube.tw/45762,34.2338993,135.177091
10,鎮-金店,"2,888~4,328萬",21.78~32.67,位址:,未提供,https://tainan.housetube.tw/45760,34.2338993,135.177091
11,UNi希建築11白派光,"2,888~4,328萬",位址:,明星學區,台南市東區東門路二段,https://tainan.housetube.tw/45655,22.9859841,120.220915
12,巴黎上品6,"2,888~4,328萬",53~56,安佃八街,安佃八街,https://tainan.housetube.tw/45565,23.063175,120.171338
13,誠銳大謙,"2,888~4,328萬",24~33.5,台南市麻豆區新生南路,台南市麻豆區新生南路,https://tainan.housetube.tw/45365,23.1765682,120.2440255
14,日東昇豐禾,"2,888~4,328萬",23~36,位址:,台南市北區文賢路313巷65-1號,https://tainan.housetube.tw/44815,23.109964,120.301152
15,貝森朵夫10,688萬起,位址:,首購,東區德祥街、城東街,https://tainan.housetube.tw/44155,22.275137,114.223333
16,臺邦諧作悅2,"1,708~1,798萬",位址:,近公園,麻豆區新生南路和成功街口,https://tainan.housetube.tw/41431,23.18556,120.24528
17,堡湖天下七期,"1,708~1,798萬",24.91~27.98,位址:,西港菜市場對面,https://tainan.housetube.tw/45509,,
18,誠銳幸福配方,"1,688~2,100萬",46.8~56.21,台南市善化區溪美里溪尾72號(隆安宮)旁,台南市善化區溪美里溪尾72號(隆安宮)旁,https://tainan.housetube.tw/47496,23.151465,120.284085
19,東祥觀品-佳里興,29.6~33萬/坪,未提供,佳里區佳里興龍興路601號,佳里區佳里興龍興路601號,https://tainan.housetube.tw/47196,23.189633,120.188006
20,靜岡17,29.6~33萬/坪,位址:,近重劃區,正新路389號,https://tainan.housetube.tw/47110,23.0405115,120.3026016
21,大鑫鑽,"4,388萬",101.35,台南市佳里區新生路46號,台南市佳里區新生路46號,https://tainan.housetube.tw/46066,24.4124566,120.7721368
22,天生贏家8,"1,506~1,728萬",46~50,台南市安南區公學路二段275巷,台南市安南區公學路二段275巷,https://tainan.housetube.tw/46025,,
23,綠格永心,33~38萬/坪,位址:,推薦,台南市永康區永埔街33巷5號旁,https://tainan.housetube.tw/44980,23.027546,120.258222
24,日東昇成美,"955~1,275萬",23.14~29.02,台南市北區大武街239號,台南市北區大武街239號,https://tainan.housetube.tw/42070,23.0150957,120.2161972
25,豪享家,"1,388萬起",54.4~61.17,西港區双張廍5之10號,西港區双張廍5之10號,https://tainan.housetube.tw/45389,23.1196965,120.2117413
26,双贏,690萬起,位址:,預售,台南西港區双營28地號,https://tainan.housetube.tw/44724,,
27,天下歸仁2-華屋有樂事7,690萬起,未提供,未提供,未提供,https://tainan.housetube.tw/43739,34.2338993,135.177091
28,隱大灣,690萬起,99,永康區立興街162號-1,永康區立興街162號-1,https://tainan.housetube.tw/40714,27.23006,87.18018
29,拾得3,690萬起,位址:,近公園,安定港口,https://tainan.housetube.tw/38025,26.7382846,114.2783554
30,東宸泰吉11,888萬,位址:,預售,台南市南區金華路一段336巷111號,https://tainan.housetube.tw/47740,23.109964,120.301152
31,聯太WHITE HAUS,888萬,位址:,重劃區,安南區安中路四段、淵西一街,https://tainan.housetube.tw/47617,,
32,和平大撰,888萬,未提供,位址:,台南市關廟區和平路28號,https://tainan.housetube.tw/47574,24.686715,120.898615
33,為有巢-西埔段(透天),888萬,38.5~74.3,西港西埔寮,西港西埔寮,https://tainan.housetube.tw/47546,23.087778,120.175556
34,為有巢-西埔段,888萬,位址:,預售,西港區西埔寮,https://tainan.housetube.tw/47545,23.0855123,120.1860338
35,為有巢-玉成段,888萬,33.4~34.2,七股區龍山社區,七股區龍山社區,https://tainan.housetube.tw/47544,,
36,為有巢-佳化段,"1,068~1,645萬",39.7~40.7,佳里區佳化一街,佳里區佳化一街,https://tainan.housetube.tw/47543,23.1848259,120.1935391
37,為有巢-外塭段,"1,068~1,645萬",40,安南區安昌街284巷,安南區安昌街284巷,https://tainan.housetube.tw/47542,,
38,樂活小鎮,"1,068~1,645萬",33.7~55.2,官田區神農段187地號（官田59號之1旁）,官田區神農段187地號（官田59號之1旁）,https://tainan.housetube.tw/47519,,
39,大興靜隱,"1,866~1,998萬",位址:,近公園,大興街479號,https://tainan.housetube.tw/47409,24.123248,120.693078
40,快捷市,"1,018~1,488萬",位址:,明星學區,佳里區中興街310巷,https://tainan.housetube.tw/47318,23.1536823,120.1819692
41,知見築,"1,018~1,488萬",35.96~37.54,位址:,台南市南區萬年二街128巷17號,https://tainan.housetube.tw/47292,,
42,福祿樂活,"1,018~1,488萬",23~30,位址:,學甲區育德路153號,https://tainan.housetube.tw/47278,23.2403572,120.174868
43,賦邑,"2,158~2,188萬",70,安南區安佃二街211、213號,安南區安佃二街211、213號,https://tainan.housetube.tw/47237,,
44,晨愛邑15,"1,680~1,980萬",51~60,台南市善化區六分寮415號,台南市善化區六分寮415號,https://tainan.housetube.tw/47220,23.1530237,120.2980942
45,統翔．慕光里,"1,266萬起",位址:,首購,台南市佳里區佳西路482號對面,https://tainan.housetube.tw/47197,,
46,良勳101,"1,266萬起",24~43,怡中段931地號,怡中段931地號,https://tainan.housetube.tw/47195,,
47,靜觀,"1,266萬起",43~46,台南市下營區寮前一街58巷,台南市下營區寮前一街58巷,https://tainan.housetube.tw/47102,23.109964,120.301152
48,煌聖·迎曦,"1,480萬",24.89~37.69,台南市新市區新北段0066地號,台南市新市區新北段0066地號,https://tainan.housetube.tw/47068,,
49,多財多億2,"1,480萬",21~28,位址:,台南市安南區安和路一段450號,https://tainan.housetube.tw/47056,23.0273981,120.2149001
50,傳承22,"1,480萬",47.5~67.2,台南市關廟區東安街156巷,台南市關廟區東安街156巷,https://tainan.housetube.tw/47008,22.9544846,120.3307165
51,大河佃,"3,980萬起",90~113,安南區海東ㄧ街,安南區海東ㄧ街,https://tainan.housetube.tw/46933,,
52,鼎旺in-1,58.3~62萬/坪,25.07~35.11,台南市東區中華東路二段,台南市東區中華東路二段,https://tainan.housetube.tw/46922,22.982149,120.2303956
53,豐悅永榮,"1,278萬起",94,永康區永榮三街59號,永康區永榮三街59號,https://tainan.housetube.tw/46909,23.0157571,120.2599116
54,怡華好美,"1,278萬起",44~68,台南市下營區大孝街(下營活動中心對面),台南市下營區大孝街(下營活動中心對面),https://tainan.housetube.tw/46905,,
55,世界南科B,"1,999~3,399萬",28~35,新市區富中路與富安七街口,新市區富中路與富安七街口,https://tainan.housetube.tw/46903,,
56,辰御本是,"1,999~3,399萬",43~48,西港區港東段2006地號,西港區港東段2006地號,https://tainan.housetube.tw/46890,,
57,大富佳來廠辦,"1,999~3,399萬",未提供,台南市麻豆區苓子林三街365號,台南市麻豆區苓子林三街365號,https://tainan.housetube.tw/46888,,
58,珍.璽,"1,188萬起",54.84~67,台南市學甲區大灣段1310地號,台南市學甲區大灣段1310地號,https://tainan.housetube.tw/46852,23.109964,120.301152
59,尚義峰碩6,,位址:,明星學區,未提供,https://tainan.housetube.tw/46809,34.2338993,135.177091
60,保虹禾苑,"1,680~2,180萬",60.12~70.92,台南市安定區蘇安段788地號,台南市安定區蘇安段788地號,https://tainan.housetube.tw/46783,,
61,御善佳居III,"2,780萬",位址:,預售,台南市佳里區光明街,https://tainan.housetube.tw/46734,23.1663457,120.170352
62,幸福IDO,"2,780萬",位址:,最新推案,台南市安定區蘇厝蘇林里112之2號旁,https://tainan.housetube.tw/46733,,
63,佳佳園3,"2,780萬",位址:,預售,未提供,https://tainan.housetube.tw/46684,34.2338993,135.177091
64,泰美.3,"2,780萬",53.26~63.31,台南市永康區永春街 108 巷 11 號旁,台南市永康區永春街 108 巷 11 號旁,https://tainan.housetube.tw/46675,,
65,風和欣邑,"2,188~2,698萬",未提供,關廟區新埔二街72巷20號,關廟區新埔二街72巷20號,https://tainan.housetube.tw/46662,22.968174,120.331005
66,嘉仁鈺邸3,"2,188~2,698萬",60,海寮203-8號,海寮203-8號,https://tainan.housetube.tw/46616,24.381019,121.308448
67,吾居樹10,"2,188~2,698萬",94,台南市東區仁東街97-1號,台南市東區仁東街97-1號,https://tainan.housetube.tw/46614,25.04851,121.521213
68,天璽8,"2,188~2,698萬",未提供,位址:,新化區正新北路91號,https://tainan.housetube.tw/46514,23.0409656,120.3026821
69,月津帝居,"728~1,135萬",50.04~66.88,台南市鹽水區歡雅段0222-0015地號,台南市鹽水區歡雅段0222-0015地號,https://tainan.housetube.tw/46451,,
70,安居樂業．永康富強,"728~1,135萬",21~31.34,台南市永康區富強路二段357號旁,台南市永康區富強路二段357號旁,https://tainan.housetube.tw/46424,23.028726,120.277162
71,佳好森活,"1,238萬起",47~48,台南市佳里區塭子內131之1,台南市佳里區塭子內131之1,https://tainan.housetube.tw/46070,23.1175369,120.1618093
72,寶佳,"1,398~1,598萬",51.72~56.14,台南市佳里區頂廍56-1號,台南市佳里區頂廍56-1號,https://tainan.housetube.tw/46061,25.04851,121.521213
73,多財多億,"3,688~4,098萬",40.2~46.5,位址:,安南區長溪路一段257號,https://tainan.housetube.tw/46042,,
74,金艷富邸12,"1,280~1,988萬",46.18~63.28,麻豆區大程段900地號,麻豆區大程段900地號,https://tainan.housetube.tw/45783,23.18556,120.24528
75,清自朗,32萬/坪起,位址:,預售,未提供,https://tainan.housetube.tw/45722,34.2338993,135.177091
76,熊大心NO.3,32萬/坪起,位址:,預售,台南市歸仁區大吉二街,https://tainan.housetube.tw/45718,23.109964,120.301152
77,皇邑,623萬起,23~35,台南市新化區那拔林557-0005等16筆地號,台南市新化區那拔林557-0005等16筆地號,https://tainan.housetube.tw/45692,,
78,昶瓏織築,623萬起,60,官田區工社西街3巷,官田區工社西街3巷,https://tainan.housetube.tw/45562,23.2181405,120.325581
79,金色風采15,623萬起,48.75~67.43,下營區忠孝街15號隔壁,下營區忠孝街15號隔壁,https://tainan.housetube.tw/45468,,
80,五十皇冠6,623萬起,位址:,景觀宅,安定區港子尾段89地號,https://tainan.housetube.tw/45433,,
81,金艷富邸10-七股區,"988~1,258萬",40.23~52.22,台南市七股區樹林段0480-007地號,台南市七股區樹林段0480-007地號,https://tainan.housetube.tw/45265,,
82,麻豆蒔上,26萬/坪起,位址:,預售,麻豆區民族路57號旁,https://tainan.housetube.tw/45255,23.18556,120.24528
83,煌聖·森友旭,26萬/坪起,位址:,首購,台南市新市區大營段3037-4地號,https://tainan.housetube.tw/45244,,
84,藏春,26萬/坪起,位址:,明星學區,台南市新營區大德街105號旁,https://tainan.housetube.tw/45242,23.316713,120.318925
85,永康天母3,"2,788~3,588萬",63~70,永康區永大路二段952巷22號,永康區永大路二段952巷22號,https://tainan.housetube.tw/45139,23.02444,120.25556
86,太齊揚揚,"2,200萬起",41~51,台南市佳里區番仔寮95號對面,台南市佳里區番仔寮95號對面,https://tainan.housetube.tw/45123,,
87,綠品苑2-透天,"2,200萬起",76~93,麻豆區民族路57號旁,麻豆區民族路57號旁,https://tainan.housetube.tw/45112,23.18556,120.24528
88,九份樂活居5,,66~117,永續二十街、永續二十二街口,永續二十街、永續二十二街口,https://tainan.housetube.tw/45011,,
89,連建拾初,,25~46,位址:,郡安路六段(國安段1526等地號),https://tainan.housetube.tw/44913,,
90,花田墅,"1,638萬起",47~51,歸仁區七甲一街40號,歸仁區七甲一街40號,https://tainan.housetube.tw/44906,22.9816986,120.2939284
91,一字寬,27萬起,22~45,台南市國安段1613地號,台南市國安段1613地號,https://tainan.housetube.tw/44814,35.9631124,114.90428915000001
92,為有巢-竹橋2,27萬起,32~33,七股區竹橋,七股區竹橋,https://tainan.housetube.tw/44803,23.1041265,120.1644508
93,國圖好境,27萬起,位址:,近公園,新營區金華路周武街路口,https://tainan.housetube.tw/44665,23.30694,120.31056
94,琉星,43萬起,位址:,低總價,台南市中西區康樂街,https://tainan.housetube.tw/44650,22.9903261,120.1939428
95,皇龍天品,43萬起,29~46,台南市永康區忠孝一路,台南市永康區忠孝一路,https://tainan.housetube.tw/44637,22.9998872,120.2431128
96,卓悅No7,"2,798萬起",36~37,位址:,台南市安定區安定29-6號 (安加五金百貨對面),https://tainan.housetube.tw/44636,23.109964,120.301152
97,光建築3,705~875萬,位址:,首購,關廟區花園二街,https://tainan.housetube.tw/44625,22.9626781,120.3372872
98,信耘登悅,719~813萬,位址:,首購,台南市安南區安佃八街25號,https://tainan.housetube.tw/44541,23.0632295,120.1703624
99,吾映良品19,"938~1,488萬",44~56,台南市佳里區新安段477地號,台南市佳里區新安段477地號,https://tainan.housetube.tw/44466,,
100,天闊,"463~1,209萬",位址:,景觀宅,新化區崙子頂117號對面,https://tainan.housetube.tw/44436,,
101,誠銳家和樂,622~751萬,40~49,台南市官田區鎮中路,台南市官田區鎮中路,https://tainan.housetube.tw/44416,23.2141161,120.3288116
102,晴空樓5,622~751萬,19.56~21.78,台南市永康區文賢街387號對面,台南市永康區文賢街387號對面,https://tainan.housetube.tw/44307,,
103,薈萃居7,,38~66,位址:,台南市安南區永續二十二街(國安段1590地號),https://tainan.housetube.tw/44301,,
104,世界南科A,,未提供,新市區富中街66號旁,新市區富中街66號旁,https://tainan.housetube.tw/44218,23.0836468,120.2942479
105,三河院,"3,380萬起",86.8,宜居二路189號,宜居二路189號,https://tainan.housetube.tw/44146,,
106,禾居3,498~778萬,位址:,近公園,台南市關廟區大仁街319號旁,https://tainan.housetube.tw/44056,23.109964,120.301152
107,12平均律,498~778萬,位址:,低總價,台南市麻豆區安業段0256-0010地號,https://tainan.housetube.tw/44029,,
108,家多美8,730萬起,位址:,首購,佳里區子龍一街,https://tainan.housetube.tw/43972,23.1736809,120.2075994
109,築東京,730萬起,位址:,預售,安定港口251-5號（後方）,https://tainan.housetube.tw/43951,34.356888,130.864241
110,安新家I,730萬起,位址:,精品文旅宅,台南市佳里區佳里興,https://tainan.housetube.tw/43826,23.1896332,120.1880058
111,經典佳2,"1,280~1,775萬",39.6~57.23,台南市仁德區田厝二街64巷,台南市仁德區田厝二街64巷,https://tainan.housetube.tw/43824,22.9390963,120.2437406
112,宜田頤恬,683~753萬,位址:,低總價,安定區中榮段234地號,https://tainan.housetube.tw/43822,,
113,心程市,"1,068萬起",位址:,首購,台南市新市區潭頂區317號之１,https://tainan.housetube.tw/43811,,
114,閎富御品,"1,068萬起",28.85起,位址:,東山區新東路2段31號,https://tainan.housetube.tw/43791,47.34418,130.31816
115,MoMA18,"818~1,318萬",26.03~34.66,台南市歸仁區大順街與大順三街,台南市歸仁區大順街與大順三街,https://tainan.housetube.tw/43740,23.109964,120.301152
116,南科心集,,位址:,首購,安定區新庄段523地號,https://tainan.housetube.tw/43674,,
117,32泊,,位址:,首購,安定區海安段162地號,https://tainan.housetube.tw/43672,40.311067,115.950908
118,太穩森活,,位址:,首購,台南市南區大同路二段482巷,https://tainan.housetube.tw/43622,22.973128,120.2118089
119,御滿瑭,,72.58,台南市柳營區柳營路二段438號,台南市柳營區柳營路二段438號,https://tainan.housetube.tw/43578,23.2844866,120.3122447
120,淳仰律,"4,680萬",51~91,安南區樂活五街,安南區樂活五街,https://tainan.housetube.tw/43565,23.0248404,120.1806529
121,君邦逸品,"4,680萬",位址:,首購,台南市善化區茄拔段一小段756-2地號,https://tainan.housetube.tw/43546,53.6222043,10.047604872187053
122,沐之森2,"4,680萬",98,台南市永康區崑山街203巷32號,台南市永康區崑山街203巷32號,https://tainan.housetube.tw/43153,23.0050281,120.2585598
123,植建築2,30~32萬/坪,位址:,近公園,安南區安生街,https://tainan.housetube.tw/43123,23.0454212,120.2147271
124,金色風采12,684~875萬,位址:,首購,台南市安定區許中營24號對面,https://tainan.housetube.tw/43025,,
125,美夢成真NO.2,684~875萬,位址:,低自備,台南市麻豆區新生南路33巷,https://tainan.housetube.tw/42995,,
126,玉璽天下2璽福,"1,388~1,718萬",位址:,近公園,台南市玉井區和平街160巷,https://tainan.housetube.tw/42889,23.12493,120.46138
127,朝陽-聚紳鄰,"1,388~1,718萬",44~52,安南區安中路四段211巷62號,安南區安中路四段211巷62號,https://tainan.housetube.tw/42717,,
128,吉全双囍,"1,388~1,718萬",40~48,台南市安南區安中路四段210巷,台南市安南區安中路四段210巷,https://tainan.housetube.tw/42683,23.0510679,120.16932
129,皇邑,654~900萬,位址:,預售,善化區成功路小新營5-12號,https://tainan.housetube.tw/42666,23.130849,120.30659
130,澄田上品硯,31~33萬/坪,31~39,臺南市新市區南港街＆南昌街,臺南市新市區南港街＆南昌街,https://tainan.housetube.tw/42573,,
131,南科富境,31~33萬/坪,位址:,成屋,台南市新市區大社段2055地號,https://tainan.housetube.tw/42473,,
132,理白,45萬/坪,位址:,預售,台南市東區文化一街,https://tainan.housetube.tw/42374,22.9788647,120.2306554
133,日初莊園,"800~1,200萬",位址:,景觀宅,台南市安定區港口1-25號旁,https://tainan.housetube.tw/42337,27.372797,115.012624
134,陶喜LIHO5,,位址:,…,台南市安定區港口段3212地號,https://tainan.housetube.tw/42332,,
135,為有巢-公塭3,960萬起,47.4,台南市安南區公學路五段363巷36弄,台南市安南區公學路五段363巷36弄,https://tainan.housetube.tw/42269,,
136,遠見2,960萬起,未提供,位址:,台南市台南市佳里區光復路70號旁(舊阿忠牛排旁),https://tainan.housetube.tw/42253,,
137,承安永平9,960萬起,位址:,首購,台南市佳里區六安街,https://tainan.housetube.tw/42200,23.1699385,120.1770177
138,大京藏5,960萬起,位址:,首購,台南市佳里區文化路,https://tainan.housetube.tw/42186,23.1628826,120.1656923
139,承安永平7,960萬起,位址:,首購,台南市善化區小新營111-3號旁,https://tainan.housetube.tw/42134,,
140,佳順大順,960萬起,24~44,歸仁九路(台糖循環住宅東側),歸仁九路(台糖循環住宅東側),https://tainan.housetube.tw/42114,22.927731,120.291125
141,宇成植感,960萬起,25~35,台南市善化區成功路169巷,台南市善化區成功路169巷,https://tainan.housetube.tw/42107,23.1270333,120.3139323
142,崇品VIP,960萬起,未提供,永康區龍中街,永康區龍中街,https://tainan.housetube.tw/42031,23.0303765,120.2623952
143,和紘新東琚,960萬起,位址:,首購,崇德路與保生路路口,https://tainan.housetube.tw/42020,,
144,誠銳天藝,960萬起,位址:,明星學區,佳里區光華街22巷與公園路口,https://tainan.housetube.tw/41969,,
145,河睦,960萬起,23~39,台南市國安段1553地號,台南市國安段1553地號,https://tainan.housetube.tw/41855,23.109964,120.301152
146,常慶天目,960萬起,25~46,台南市善化區中山路467號,台南市善化區中山路467號,https://tainan.housetube.tw/41816,23.1323804,120.2897443
147,臻藏詠潤,960萬起,位址:,明星學區,台南市安平區建平七街453巷76號對面,https://tainan.housetube.tw/41797,,
148,奇詮齊全2,960萬起,位址:,首購,臺南市善化區茄拔段一小段1370地號,https://tainan.housetube.tw/41683,,
149,邰欣地堡70,,26.62~36.42,台南市東區仁和路 x 德祥街,台南市東區仁和路 x 德祥街,https://tainan.housetube.tw/41608,,
150,青日朗朗,"1,399萬起",45~100,官田區信義街二段,官田區信義街二段,https://tainan.housetube.tw/41601,23.1953735,120.313856
151,仙盈大鎮,"1,788~2,558萬",80~116,台南市鹽水區蔦松路201巷（12米道路）91號,台南市鹽水區蔦松路201巷（12米道路）91號,https://tainan.housetube.tw/41575,,
152,幸福邸家,26~29萬/坪,53.73~65.49,台南市關廟區北安二街,台南市關廟區北安二街,https://tainan.housetube.tw/41424,22.9663795,120.3312594
153,高第璞璞,26~29萬/坪,23~24,台南市新市區大社段2112號,台南市新市區大社段2112號,https://tainan.housetube.tw/41373,,
154,宜田宜居NO.11,"1,058萬起",未提供,位址:,台南市西港區溪埔寮13-1號旁,https://tainan.housetube.tw/41351,23.109964,120.301152
155,淳境九份子,"5,888萬",107,樂活路/樂活10街,樂活路/樂活10街,https://tainan.housetube.tw/41190,,
156,頂寶NO.1,525~725萬,位址:,近高速公路,台南市新營區北紙段136地號,https://tainan.housetube.tw/41131,,
157,市中心,"1,288萬起",25.4~34,位址:,台南市新營區長春街37號,https://tainan.housetube.tw/41052,23.3019652,120.3129513
158,璞日,31~38萬/坪,33~54,宜居路、郡安路六段路口,宜居路、郡安路六段路口,https://tainan.housetube.tw/41036,5.69729,-9.619464
159,花現關廟,31~38萬/坪,位址:,首購,關廟崇平路118號旁,https://tainan.housetube.tw/40961,22.963768,120.322177
160,謙福3,31~38萬/坪,未提供,位址:,台南市安南區安中路四段225號,https://tainan.housetube.tw/40960,24.656523,120.882566
161,湁韻,31~38萬/坪,位址:,近公園,台南市中西區南華街與武英街路口,https://tainan.housetube.tw/40924,,
162,東拾麗緻15,31~38萬/坪,49~98,台南市新化區大智路7-11星辰門市旁,台南市新化區大智路7-11星辰門市旁,https://tainan.housetube.tw/40899,50.040593,12.322507
163,東都綠學,31~38萬/坪,24~44,台南市仁德區崇聖路一段、保仁路口(仁和國小旁),台南市仁德區崇聖路一段、保仁路口(仁和國小旁),https://tainan.housetube.tw/40876,,
164,品學苑3,,未提供,位址:,麻豆區自由路、新生北路308巷路口,https://tainan.housetube.tw/40719,,
165,林森薈,"4,988萬",未提供,台南市新營區開元路103巷,台南市新營區開元路103巷,https://tainan.housetube.tw/40628,23.3102165,120.32508
166,公園帝寶10,"4,988萬",位址:,預售,台南市佳里區佳東段340號(地號),https://tainan.housetube.tw/40576,,
167,府都WE,"4,988萬",未提供,臺南市安南區海佃路一段158巷,臺南市安南區海佃路一段158巷,https://tainan.housetube.tw/40474,23.0255442,120.2008545
168,府都one+,"4,988萬",未提供,建平九街、建平九街60巷、建平八街,建平九街、建平九街60巷、建平八街,https://tainan.housetube.tw/40472,,
169,聯慧.耘富,"4,988萬",35.25,位址:,台南市南區萬年五街346號,https://tainan.housetube.tw/40467,22.9343262,120.1886389
170,自然興,"4,988萬",123,台南市安南區培安路195巷,台南市安南區培安路195巷,https://tainan.housetube.tw/40443,,
171,安建築3,846~928萬,位址:,預售,歸仁區大仁街,https://tainan.housetube.tw/39651,22.9665265,120.2963991
172,金色風采11,19.4~22.1萬/坪,27.8~33.1,位址:,臺南市西港區後營299-2號旁,https://tainan.housetube.tw/38958,23.1228766,120.202119
173,璞真3,19.4~22.1萬/坪,43~57,佳里區外渡頭1-3號旁,佳里區外渡頭1-3號旁,https://tainan.housetube.tw/38832,,
174,元翰門,19.4~22.1萬/坪,56~110,台南市安平區國平南路(漁光段893地號),台南市安平區國平南路(漁光段893地號),https://tainan.housetube.tw/38766,,
175,誠銳天玥,19.4~22.1萬/坪,22~35,佳里區中山路安仔牛肉爐旁,佳里區中山路安仔牛肉爐旁,https://tainan.housetube.tw/38663,,
176,和謙,26~28萬/坪,26~40,台南市仁德區德崙路,台南市仁德區德崙路,https://tainan.housetube.tw/38268,22.9446112,120.2549314
177,信美明日絵,"7,880萬",位址:,景觀宅,台南市安南區安中路二段71巷50號,https://tainan.housetube.tw/38247,,
178,寬薪園9期,"7,880萬",23~32,位址:,學甲區寶發路182號前,https://tainan.housetube.tw/38158,35.677286,139.748937
179,原砌15,"7,880萬",81,位址:,永康區龍埔街100號,https://tainan.housetube.tw/37991,23.0342282,120.2638894
180,森安邦,33萬/坪起,位址:,預售,中華西路一段50巷口,https://tainan.housetube.tw/37756,34.5542,105.77
181,天器11,"2,388萬",46.9~65,安南區海環街526號旁,安南區海環街526號旁,https://tainan.housetube.tw/37330,,
182,市政阿曼,1250萬/坪起,21~37,台南市安平區永華路二段391號,台南市安平區永華路二段391號,https://tainan.housetube.tw/37193,22.9895517,120.1791899
183,惠丞大謙,1250萬/坪起,57~67,東門路三段81號,東門路三段81號,https://tainan.housetube.tw/37019,,
184,白京幸之住,1250萬/坪起,位址:,成屋,東區德昌路87號,https://tainan.housetube.tw/35834,22.9661567,120.2373348
185,健康首席,"10,888萬",120.48,位址:,台南市南區健康路二段467號,https://tainan.housetube.tw/35278,22.9821593,120.1845462
186,景泰然,"12,000萬",29~47,安平區永華六街,安平區永華六街,https://tainan.housetube.tw/35163,22.993892,120.1770129
187,邰欣地堡67,"12,000萬",位址:,明星學區,台南市安南區永續十八街,https://tainan.housetube.tw/35155,23.0224124,120.1779339
188,居賢林園,"12,000萬",82.8~152.8,善化區公園路20號,善化區公園路20號,https://tainan.housetube.tw/33657,22.6571731,120.3592938
189,白平衡,"12,000萬",119.5~124.8,湖美街91號,湖美街91號,https://tainan.housetube.tw/33086,23.0014188,120.179872
190,八方美術館,"12,000萬",未提供,位址:,友愛街 • 忠義路口,https://tainan.housetube.tw/32756,23.235848,120.259207
191,成大．寶仁,26~32萬/坪,位址:,預售,開南街,https://tainan.housetube.tw/32752,22.502314,120.394813
192,允將花園城市,26~32萬/坪,20~37,北區海安路與立賢路口,北區海安路與立賢路口,https://tainan.housetube.tw/32696,,
193,水雲川,26~32萬/坪,位址:,成屋,709台南市安南區永續十八街2號,https://tainan.housetube.tw/32451,23.02334,120.179187
194,梅菲爾,"3,888萬起",65,台南市安平區國平路、平通路口,台南市安平區國平路、平通路口,https://tainan.housetube.tw/30543,,
195,喆大成,"5,488~8,288萬",148~177,台南市東區裕忠路372號,台南市東區裕忠路372號,https://tainan.housetube.tw/30358,,
196,海灣Villa CEO會館2,"7,600萬起",180~215,本田路二段,本田路二段,https://tainan.housetube.tw/29701,23.0390283,120.1564133
197,巴黎16區II,"12,899萬",250,台南市安平區育平路413號,台南市安平區育平路413號,https://tainan.housetube.tw/29531,22.995365,120.1673448
198,帝凡內,"6,900萬起",位址:,成屋,台南市北區中華北路一段78巷與武聖路口,https://tainan.housetube.tw/25652,,
199,八富-莊園8,"6,900萬起",146~150,館前街73巷1號,館前街73巷1號,https://tainan.housetube.tw/20453,23.0552937,120.2308556
200,湖美帝堡,"1,588~1,880萬",位址:,,台南市中西區和緯路五段87號,https://tainan.housetube.tw/17143,23.0057626,120.1845112
201,藏悅,"1,588~1,880萬",未提供,未提供,未提供,https://tainan.housetube.tw/47852,34.2338993,135.177091
202,儷城欣欣5,"1,588~1,880萬",54.9~63.1,歸仁區保順路二段73號,歸仁區保順路二段73號,https://tainan.housetube.tw/47800,22.9932553,120.2956308
203,上上富自強,"2,880萬起",未提供,位址:,台南市永康區自強路上 (自強段256地號),https://tainan.housetube.tw/47796,,
204,松濤舘8,"2,880萬起",89~95,台南市新營區東平街21號,台南市新營區東平街21號,https://tainan.housetube.tw/47691,23.3107601,120.3312828
205,築秀山水匯,"888~1,088萬",未提供,楠西區民族路259號,楠西區民族路259號,https://tainan.housetube.tw/47663,24.564744,120.811828
206,家薪7,898~936萬,40.31~40.54,海澄里番子寮41號旁,海澄里番子寮41號旁,https://tainan.housetube.tw/47638,23.180994,120.162466
207,藏樂居,"818~1,158萬",位址:,低總價,歸仁區中正北路二段394巷17號,https://tainan.housetube.tw/47632,,
